===> Get the access_token from file token-record.log :  2.001RmSIBlK5JHB7ec553667bNCNxnD
===> The access_token's expires_in : 1535099090.000000
Loop  : 1, Time : Thu Sep  5 20:41:16 2013 , since_id : 3619270368358408 
Loop  : 2, Time : Thu Sep  5 20:42:20 2013 , since_id : 3619271043265913 
Loop  : 3, Time : Thu Sep  5 20:43:24 2013 , since_id : 3619271043265913 
Loop  : 4, Time : Thu Sep  5 20:44:24 2013 , since_id : 3619271043265913 
Loop  : 5, Time : Thu Sep  5 20:45:34 2013 , since_id : 3619271781821519 
Loop  : 6, Time : Thu Sep  5 20:46:34 2013 , since_id : 3619271781821519 
Loop  : 7, Time : Thu Sep  5 20:47:35 2013 , since_id : 3619271781821519 
Loop  : 8, Time : Thu Sep  5 20:48:36 2013 , since_id : 3619271781821519 
Loop  : 9, Time : Thu Sep  5 20:49:36 2013 , since_id : 3619271781821519 
Loop  : 10, Time : Thu Sep  5 20:50:37 2013 , since_id : 3619271781821519 
Loop  : 11, Time : Thu Sep  5 20:51:47 2013 , since_id : 3619271781821519 
Loop  : 12, Time : Thu Sep  5 20:52:51 2013 , since_id : 3619271781821519 
Loop  : 13, Time : Thu Sep  5 20:53:51 2013 , since_id : 3619271781821519 
Loop  : 14, Time : Thu Sep  5 20:54:52 2013 , since_id : 3619271781821519 
Unexpected error: (<class 'urllib2.URLError'>, URLError(SSLError(8, '_ssl.c:490: EOF occurred in violation of protocol'),), <traceback object at 0x88137fc>)
Loop  : 15, Time : Thu Sep  5 20:56:13 2013 , since_id : 3619271781821519 
Loop  : 16, Time : Thu Sep  5 20:57:14 2013 , since_id : 3619274566809291 
Loop  : 17, Time : Thu Sep  5 20:58:15 2013 , since_id : 3619275074608194 
Loop  : 18, Time : Thu Sep  5 20:59:18 2013 , since_id : 3619275074608194 
Loop  : 19, Time : Thu Sep  5 21:00:19 2013 , since_id : 3619275074608194 
Loop  : 20, Time : Thu Sep  5 21:01:20 2013 , since_id : 3619275883657942 
Loop  : 21, Time : Thu Sep  5 21:02:24 2013 , since_id : 3619275883657942 
Loop  : 22, Time : Thu Sep  5 21:03:34 2013 , since_id : 3619276198050239 
Loop  : 23, Time : Thu Sep  5 21:04:34 2013 , since_id : 3619276198050239 
Loop  : 24, Time : Thu Sep  5 21:05:36 2013 , since_id : 3619276743150117 
Loop  : 25, Time : Thu Sep  5 21:06:45 2013 , since_id : 3619276743150117 
Loop  : 26, Time : Thu Sep  5 21:07:49 2013 , since_id : 3619276743150117 
Loop  : 27, Time : Thu Sep  5 21:08:50 2013 , since_id : 3619277590777675 
Loop  : 28, Time : Thu Sep  5 21:09:51 2013 , since_id : 3619277590777675 
Loop  : 29, Time : Thu Sep  5 21:10:53 2013 , since_id : 3619277590777675 
